ISBN,Title,Author,Year-Of-Publication,Publisher
0345371135,Quincunx,Charles Palliser,1991,Ballantine Books
0385260083,The Robber Bride,Margaret Atwood,1993,Doubleday Books
0812511069,Destiny's Road,Larry Niven,1998,Tor Science Fiction
0553577239,"The Bone Doll's Twin (Tamir Trilogy, Book 1)",Lynn Flewelling,2001,Spectra Books
0375724400,When We Were Orphans (Vintage International (Paperback)),Kazuo Ishiguro,2001,Vintage Books USA
3492238696,Balzac und die kleine chinesische Schneiderin.,Dai Sijie,2003,Piper
0373710615,"Wonders Never Cease (Count On A Cop) (Harlequin Superromance, No. 1061)",Debra Salonen,2002,Harlequin
0449227944,"Asylum (Blackstone Chronicles, No 6)",JOHN SAUL,1997,Fawcett
0425140318,Private Pleasures,Lawrence Sanders,1994,Berkley Publishing Group
0553100742,Critical Judgment,Michael Palmer,1996,Bantam
155166710X,A Summer Affair,Susan Wiggs,2003,Mira
0684822776,The Riders,Tim Winton,1996,Scribner
1401039081,Killer Asylum,David R. Williams,2002,Xlibris Corporation
0684859718,Deadly Decisions,Kathy Reichs,2000,Scribner
0440220734,"Area 51 (Area 51, Book 1)",Robert Doherty,1997,Dell
3499226375,Mondscheintarif,Ildiko Von Kurthy,2001,Rowohlt Taschenbuch Verlag GmbH
0060002077,A Gentleman's Honor,Stephanie Laurens,2003,Avon Books
0061020656,Pyramids (Discworld Novels (Paperback)),Terry Pratchett,2001,HarperTorch
0525945253,The Kid: What Happened After My Boyfriend and I Decided to Go Get Pregnant : An Adoption Story,Dan Savage,1999,Dutton Books
0515130974,Running Blind (Jack Reacher Novels (Paperback)),Lee Child,2001,Jove Books
0380726246,Prayers for the Dead : A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1997,Avon
0380792494,Devil's Claw,J.A. Jance,2001,Avon
0449227898,"Day of Reckoning: The Stereoscope (Blackstone Chronicles, Part 5)",John Saul,1997,Fawcett Books
044922788X,"In the Shadow of Evil: The Handkerchief (The Blackstone Chronicles , No 4)",John Saul,1997,Fawcett Books
0449227863,"Ashes to Ashes: The Dragon's Flame (Blackstone Chronicles, Part 3)",John Saul,1997,Fawcett Books
0449227847,"Twist of Fate: The Locket (The Blackstone Chronicles, No 2)",John Saul,1997,Fawcett Books
1551668769,With A Southern Touch,Diana Palmer,2002,Mira
0786861363,Knee Deep in Paradise,Brett Butler,1996,Hyperion Books
045120915X,Rain Fall,Barry Eisler,2003,Signet Book
0757300286,Chicken Soup for the Canadian Soul : Stories to Inspire and Uplift the Hearts of Canadians (Chicken Soup for the Soul),Raymond Aaron,2002,Health Communications
0060562250,A Series of Unfortunate Events: Lemony Snicket : The Unauthorized Autobiography (A Series of Unfortunate Events),Lemony Snicket,2003,HarperTrophy
0609610996,The Mammoth Hunters,JEAN M. AUEL,2001,Crown
0440431808,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E. L. Konigsburg,1977,Yearling Books
0141301120,Charlie and the Great Glass Elevator (Puffin Novels),Roald Dahl,1998,Puffin Books
0345348656,"Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, Book 1)",Stephen R. Donaldson,1984,Del Rey Books
0375401156,The Diving Bell and the Butterfly : A Memoir of Life in Death,JEAN-DOMINIQUE BAUBY,1997,Knopf
0061020397,Carpe Jugulum (Discworld Novels (Paperback)),Terry Pratchett,2000,HarperTorch
0425146812,Second Nature,Alice Hoffman,1995,Berkley Publishing Group
0451125509,The Other Woman,Joy Fielding,1993,Signet Book
0385336454,Presumption of Death,PERRI O'SHAUGHNESSY,2003,Delacorte Press
0380731983,When I Fall in Love,Iris R. Dart,1999,Avon
0446611727,Some Girls Do,Leanne Banks,2003,Warner Forever
0590404008,Hundred Dresses,Eleanor Estes,0,Scholastic Inc
0061099279,King's Oak,Anne Rivers Siddons,1991,HarperTorch
0812524012,Finn Mac Cool,Morgan Llywelyn,1995,Tor Books (Mm)
0373250398,The Princess-in-Training Manual/Divas Don't Fake It,Jacqueline de Soignee,2003,Red Dress Ink
0515125024,Die Trying,Lee Child,1999,Jove Books
0843945508,Bite (Love Spell),Richard Laymon,1999,Leisure Books
0684848155,UNDERWORLD: A NOVEL,Don DeLillo,1998,Scribner
0380709147,Henry and Beezus (Cleary Reissue),Beverly Cleary,1990,HarperTrophy
055356823X,Amanda,KAY HOOPER,1996,Bantam
0553560271,Shadows,John Saul,1993,Bantam Books
0380724596,Coffee Will Make You Black,April Sinclair,1995,Perennial
0525944885,The Songcatcher: A Ballad Novel,Sharyn McCrumb,2001,Dutton Books
0865471185,West With the Night,Beryl Markham,1983,North Point Press
0425127923,Sleeping With the Enemy,Nancy Price,1993,Berkley Pub Group
0684841363,IN THE MEANTIME : Finding Yourself and the Love You Want,Iyanla Vanzant,1998,Simon &amp; Schuster
0060172916,High Tide in Tucson: Essays from Now or Never,Barbara Kingsolver,1995,HarperCollins Publishers
0425152499,Practical Magic,Alice Hoffman,1996,Berkley Publishing Group
1558531564,"Live and Learn and Pass It on: People Ages 5 to 95 Share What They'Ve Discovered About Life, Love, and Other Good Stuff (Live &amp; Learn &amp; Pass It on)",H. Jackson Brown,1992,Thomas Nelson
042516246X,Bitterroot Landing,Sheri Reynolds,1997,Berkley Publishing Group
0060925493,Feather Crowns,Bobbie Ann Mason,1994,Perennial
0395644976,School for the Blind,Dennis McFarland,1994,Houghton Mifflin Company
0380715929,Mother Earth Father Sky,Sue Harrison,1991,Avon
0312969198,A Cold Day in Paradise (Alex McKnight Mysteries (Paperback)),Steve Hamilton,2000,St. Martin's Minotaur
0425195899,Irish Born,Nora Roberts,2003,Berkley Publishing Group
0446613444,The Black Ice,Michael Connelly,2003,Warner Vision
0399137769,Driving Force,Dick Francis,1992,Putnam Pub Group
0399150900,Capital Crimes,Stuart Woods,2003,Putnam Publishing Group
0446530891,Split Second,David Baldacci,2003,Warner Books
0380713608,A Morning for Flamingos,James L. Burke,1991,Avon
038073267X,Sacred and Profane (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1999,Avon
0373483422,Long Tall Texan Summer,Diana Palmer,1997,Silhouette
0061091316,Lost Boys,Orson Scott Card,1993,HarperTorch
0786889187,Cadillac Jukebox (Dave Robicheaux Mysteries (Paperback)),James Lee Burke,1997,Hyperion
0373271506,"Warrior'S Bride (Silhouette Intimate Moments, No 1080)",Nina Bruhns,2001,Silhouette
0373243936,"Cattleman And The Virgin Heiress (The Stockwells Of Texas) (Silhouette Special Edition, No 1393)",Jackie Merritt,2001,Silhouette
0843949171,Chase the Lightning,Madeline Baker,2001,Leisure Books
0929264576,You Might Be a Redneck If...,Jeff Foxworthy,1989,Longstreet Press
0394584082,The Bourne Ultimatum,Robert Ludlum,1990,Random House Inc
0553268929,The Great Santini,Pat Conroy,1987,Bantam Books
0440201969,Bluebeard,Kurt Vonnegut,1988,Dell Publishing Company
0805001115,The Grasshopper Trap,Patrick F. McManus,1986,Owl Books
0380767600,Lover in the Rough,Elizabeth Lowell,1994,Avon
0717283534,Lion King Disney,Disney,0,Stoddart+publishing
0717283208,Prince and the Pauper Walt Disney,Disney,1993,Stoddart+publishing
0553055739,"Mickey Meets the Giant (Walt Disney's Fun-to-Read Library, #1)",Walt Disney Productions,1985,Bantam Doubleday Dell
0394826264,"Walt Disney's Pinocchio and His Puppet Show Adventure (Disney's Wonderful World of Reading Series, Number 10)",Walt Disney Productions,1973,Random House Childrens Books
088404632X,Dianetics: The Modern Science of Mental Health,L. Ron Hubbard,1995,Bridge Publications (CA)
0679781382,Asylum (Vintage Contemporaries),Patrick McGrath,1998,Vintage Books USA
0684842696,UNDERWORLD,Don DeLillo,1997,Scribner
0345367413,Setting Free the Bears,John Irving,1990,Ballantine Books
1881273156,The Five Love Languages: Five Love Languages,Gary Chapman,2005,Moody Publishers
0441748600,To Sail Beyond the Sunset,Robert Heinlein,1996,Ace Books
0345421949,Roads Not Taken: Tales of Alternate History,Gardner Dozois,1998,Del Rey Books
0330246674,Porterhouse Blue,Tom Sharpe,0,Pan Books Ltd
0553563386,It Doesn't Take a Hero : The Autobiography of General H. Norman Schwarzkopf,"H. Norman, General Schwarzkopf",1993,Bantam Books
0316154059,City of Bones,Michael Connelly,2002,Warner Books
0201632950,Mama Makes Up Her Mind: And Other Dangers of Southern Living,Bailey White,1993,Perseus Publishing
0671673661,I'LL BE SEEING YOU,Mary Higgins Clark,1993,Simon &amp; Schuster
0451190009,Falsely Accused,Robert K. Tanenbaum,1997,Signet Book
1551660490,Two Alone,Kenneth T. Brown,1995,Mira
0517887940,Feng Shui Step by Step: Arranging Your Home for Health and Happiness-With Personalized Astrological Charts,T. Raphael Simons,1996,Crown Publishing Group (NY)
0821772120,Every Waking Moment,Meryl Sawyer,2002,Zebra Books
0802140122,Twelve,Nick McDonell,2003,Grove Press
0446530727,How To Meet Cute Boys,Deanna Kizis,2003,Warner Books
0140062718,The Rebel Angels,Robertson Davies,1983,Penguin Books
1555837336,Screening Party,Dennis Hensley,2002,Consortium
1558745726,Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul (Hardcover Health Communications)),Jack Canfield,1998,Health Communications
0451521951,The Count of Monte Cristo,Alexandre Dumas,1995,Signet Book
0316899992,"River, Cross My Heart",Breena Clarke,1999,Little Brown and Company
3257229909,Venezianische Scharade. Commissario Brunettis dritter Fall.,Donna Leon,1997,Diogenes Verlag
0060519134,Savannah Blues,Mary Kay Andrews,2003,Perennial
0373250541,My Fake Wedding (Red Dress Ink),Mina Ford,2004,Red Dress Ink
0373250452,Lost &amp; Found (Red Dress Ink),Jane Sigaloff,2004,Red Dress Ink
0375725466,The Buffalo Soldier : A Novel,CHRIS BOHJALIAN,2003,Vintage
1401301061,The World According to Mister Rogers,Fred Rogers,2003,Hyperion
0060393211,Running in Heels: A Novel,Anna Maxted,2001,ReganBooks
0061012351,Vendetta: Luckys Revenge,Jackie Collins,1997,Harper
0060924845,"Sure of You (Tales of the City Series, V. 6)",Armistead Maupin,1994,Perennial
044023476X,Bitter Medicine,Sara Paretsky,1999,Dell Publishing Company
0312915799,Deadly Medicine,Dan Reed,1989,St. Martin's Press
044661176X,Once Upon a Blind Date,Wendy Markham,2004,Warner Forever
0380720248,A Long Line of Dead Men (A Matthew Scudder Mystery),Lawrence Block,1996,Avon
0892966971,Killing Me Softly: A Novel of Obsession,Nicci French,1999,Mysterious Press
1551669013,Ask Anyone,Sherryl Woods,2002,Mira Books
0373711247,Vital Signs  (Emergency!),Bobby Hutchinson,2003,Harlequin
0373711328,Keeping Faith  (A Little secret),Janice Macdonald,2003,Harlequin
0452266564,The Claiming of Sleeping Beauty (Erotic Adventures of Sleeping Beauty),Rice Anne,1999,Plume Books
0553273965,Never Cry Wolf,Farley Mowat,1983,Bantam Books
0671000853,Night Whispers,Judith McNaught,1998,Atria
0743406184,If Only It Were True,Marc Levy,2001,Pocket
0836220609,In Search Of The Far Side,Gary Larson,1984,Andrews McMeel Publishing
0553351397,Peace Is Every Step: The Path of Mindfulness in Everyday Life,Thich Nhat Hahn,1992,Random House
0440242002,Bleachers,JOHN GRISHAM,2004,Dell
0440129389,"GOOD MOTHER, THE",Sue Miller,1987,Dell
0312971397,Cuba (A Jake Grafton Novel),Stephen Coonts,2000,St. Martin's Paperbacks
0786890444,The Sunday Wife,Cassandra King,2003,Hyperion
0670843342,The Road to Wellville,T. Coraghessan Boyle,1993,Penguin USA
0812563190,Elvenblood (Halfblood Chronicles),Andre Norton,1996,Tor Fantasy
0836220625,Far Side Gallery,Gary Larson,1984,Andrews McMeel Publishing
0932592007,Juggling for the Complete Klutz/With Block Beanbags,John Cassidy,1994,Klutz Press
0140048332,The Far Pavilions,M. M. Kaye,0,Penguin Putnam~trade
0425148289,On Dangerous Ground,Jack Higgins,1995,Berkley Publishing Group
0671035452,Hot Springs (Earl Swagger Novels (Paperback)),Stephen Hunter,2001,Pocket
0743418131,Deck the Halls (Holiday Classics),Mary Higgins Clark,2002,Pocket
0804115486,Enigma,Robert Harris,1996,Ballantine Books
0451410386,The Five Bells and Bladebone (Richard Jury Mysteries (Paperback)),Martha Grimes,2002,Onyx Books
1551665336,Moon Over Water,Debbie Macomber,1999,Mira
0446517380,"Mary, Mary",Ed McBain,1993,Warner Books Inc
0440158532,Mother Night,Kurt Vonnegut,1995,Dell Publishing Company
042515999X,The Solitaire Mystery,Jostein Gaarder,1997,Berkley Publishing Group
1880418592,"Song of Susannah (The Dark Tower, Book 6)",Stephen King,2004,Donald M. Grant/Scribner
1582342156,All Families Are Psychotic,Douglas Coupland,2002,Bloomsbury Publishing PLC
0449213757,Surfacing,Margaret Atwood,1987,Fawcett Books
0553583611,Fatal,MICHAEL PALMER,2003,Bantam
0609808249,Knitlit: Sweaters and Their Stories...and Other Writing About Knitting,Linda Roghaar,2002,Three Rivers Press (CA)
155166738X,The Highlander,Elaine Coffman,2003,Mira Books
0060932813,Waiting: The True Confessions of a Waitress,Debra Ginsberg,2001,Perennial
1575668807,Maggie Needs an Alibi,Kasey Michaels,2003,Kensington Publishing Corporation
0440215935,Hunter's Moon,Karen Robards,1996,Dell Publishing Company
0446676071,Message in a Bottle,Nicholas Sparks,1999,Warner Books
0671695886,Desert Solitaire,Edward Abbey,1990,Touchstone
0505524805,Night Games (Love Spell Timeswept Romance),Nina Bangs,2002,Love Spell
0553142003,Princess Daisy,Judith Krantz,0,Bantam Doubleday Dell
051513175X,The Descent,Jeff Long,2001,Jove Books
0451185501,Bone Deep,Darian North,1996,Onyx Books
0060012897,Sheltering Rain,Jojo Moyes,2003,HarperTorch
0345304616,Fox's Earth,Anne Rivers Siddons,1991,Ballantine Books
1401351964,Bergdorf Blondes : A Novel,Plum Sykes,2004,Miramax
0140366784,Jane Eyre (Puffin Classics),Charlotte Bronte,1995,Puffin Books
0553288733,Tehanu: The Last Book Of Earthsea (Earthsea  Tetrology #4),Ursula K. Le Guin,1991,Bantam
0671744062,FIREBRAND,Marion Zimmer Bradley,1991,Pocket
0385334621,The Greatest Generation,TOM BROKAW,2001,Delta
0380008440,Final Days,Bob Woodward,1977,Harper Mass Market Paperbacks (Mm)
0425089037,The Thirteen Problems (The Tuesday Club Murders),Agatha Christie,1999,Berkley Publishing Group
0446353930,Best Kept Secrets,Sandra Brown,1989,Warner Books
0394800184,Are You My Mother?,Philip D. Eastman,1960,Random House Children's Books
0060559128,"Holy Fools : A Novel (Harris, Joanne)",Joanne Harris,2004,William Morrow
0142003697,Michelangelo and the Pope's Ceiling,Ross King,2003,Penguin Books
0156007193,The Peppered Moth,Margaret Drabble,2002,Harvest Books
0385333846,Slaughterhouse-Five,KURT VONNEGUT,1999,Delta
1551661586,Witchcraft,Jayne Ann Krentz,1996,Mira
088396631X,"The One World, One Heart: Everyone Has the Same Basic Needs and Emotions. We Must Put Aside Our Differences and Come Together as One in Peace, U",Susan Polis Schutz,2001,Blue Mountain Arts
0553568159,Star Wars: Tales from Jabba's Palace (Star Wars (Random House Paperback)),Kevin J. Anderson,1996,Spectra Books
0446315176,An Unsuitable Job for a Woman,P. D. James,1992,Warner Books (Mm)
0812551494,"Soul of the Fire (Sword of Truth, Book 5)",Terry Goodkind,2000,Tor Fantasy
0449212661,Nerve,Dick Francis,1990,Fawcett Books
0449211991,Banker,Dick Francis,1989,Fawcett Books
0446354732,Nothing Lasts Forever,Sidney Sheldon,1995,Warner Books
0553249002,Aquitaine Progression,Robert Ludlum,1985,Bantam Doubleday Dell
0374234574,Pleading Guilty,Scott Turow,1993,Farrar Straus Giroux
0515128635,Tripwire,Lee Child,2000,Jove Books
0061008117,Act of Will,Barbara Taylor Bradford,1994,HarperTorch
0449223442,Daughter of the Stars,PHYLLIS A. WHITNEY,1995,Ivy Books
0451157281,Godplayer,Robin Cook,1994,Signet Book
0441005926,Illegal Alien,Robert J. Sawyer,1999,Ace Books
0743225708,Bringing Down the House : The Inside Story of Six MIT Students Who Took Vegas for Millions,Ben Mezrich,2002,Free Press
0380978857,The Golden One,Elizabeth Peters,2002,William Morrow &amp; Company
0553569783,Heartstone,PHILLIP M. MARGOLIN,1995,Bantam
0380506092,The Natural,Bernard Malamud,1995,Avon Books
0440479002,The Sign of the Beaver,Elizabeth George Speare,1994,Yearling Books
074340341X,A Season in the Highlands,Jude Deveraux,2000,Pocket
0843950455,What She Wants,Lynsay Sands,2002,Leisure Books
067973709X,Mating,Norman Rush,1992,Vintage Books USA
067172519X,RAISE THE TITANIC (Clive Cussler),Clive Cussler,1990,Pocket
0061059064,Jingo: A Novel of Discworld,Terry Pratchett,1999,HarperTorch
0060176075,Lily White,Susan Isaacs,1996,Harpercollins
0590409182,The Cat Who Went to Heaven,Elizabet Coatsworth,0,Scholastic Inc
0373483317,"Jingle Bells, Wedding Bells",Nora Roberts,1994,Silhouette
038071972X,Return to Howliday Inn,James Howe,1993,HarperTrophy
0399140093,Mind Prey,John Sandford,1995,Putnam Pub Group
0446603988,The Hippopotamus Pool (Amelia Peabody Mysteries (Paperback)),Elizabeth Peters,1997,Warner Books
055380247X,Fatal Tide,IRIS JOHANSEN,2003,Bantam
044661257X,If Looks Could Kill,Kate White,2003,Warner Vision
0451201736,Figure of 8,Patrick Lynch,2000,Signet Book
0451197038,Manner of Death,Stephen White,2000,Signet Book
0451202538,Hangman,Michael Slade,2001,Signet Book
0440150795,Rhinemann Exchange,Robert Ludlum,1975,Bantam Doubleday Dell
0451173082,Against the Wind,J. F. Freedman,1992,Signet Book
0399133844,Gracie: A Love Story,George Burns,1988,Putnam Pub Group
0394563492,A Civil Action,Jonathan Harr,1995,Random House
0804112959,Grand Jury,Philip Friedman,1997,Ivy Books
0804107491,Reasonable Doubt,Philip Friedman,1997,Ivy Books
0451199480,One Last Dance,Eileen Goudge,2000,Signet Book
0671744585,The Invitation,Jude Deveraux,1994,Pocket
0399150560,Blindside: An FBI Thriller,Catherine Coulter,2003,G. P. Putnam's Sons
0140262032,Revenge of the Cootie Girls: A Robin Hudson Mystery (Robin Hudson Mysteries (Paperback)),Sparkle Hayter,1998,Penguin Books
0399147381,Hemlock Bay,Catherine Coulter,2001,Penguin Putnam
0375414576,My Life,Bill Clinton,2004,Knopf
0553213385,The War of the Worlds (Bantam Classics),H. G. Wells,1988,Bantam
044020447X,Final Flight,Stephen Coonts,1989,Dell
0679445315,Quite a Year for Plums,Bailey White,1998,Random House Inc
0375758992,Don't Let's Go to the Dogs Tonight : An African Childhood,ALEXANDRA FULLER,2003,Random House Trade Paperbacks
1551668866,Twilight Hunger,Maggie Shayne,2002,Mira Books
055356241X,Mars,Ben Bova,1993,Bantam Books
0345453425,Cry No More,LINDA HOWARD,2004,Ballantine Books
1551669099,The Stone Forest,Karen Harper,2002,Mira
0778320197,Home Before Dark,Susan Wiggs,2004,Mira
0440235804,Her Father's House,BELVA PLAIN,2003,Dell
1551668858,July Thunder,Rachel Lee,2002,Mira
084395048X,Lair of the Lion,Christine Feehan,2002,Leisure Books
044661209X,High on a Hill,Dorothy Garlock,2002,Warner Books
0446608122,The Edge of Town,Dorothy Garlock,2002,Warner Books
0446606944,Someday Soon,Joan Wolf,2000,Warner Forever
0821772244,A Capital Holiday (Zebra Book.),Janet Dailey,2001,Zebra Books
0446516317,The Witness,Sandra Brown,1995,Replica Books
0802139868,The Sexual Life of Catherine M.,Catherine Millet,2003,Grove Press
0440931800,From the Mixed Up Files of Mrs. Basil E. Frankweiler (Laurel Leaf Books),E. L. Konigsburg,1973,Laure Leaf
0553571850,Finding Laura,Kay Hooper,1998,Bantam Books
0743211235,"The Prize Winner of Defiance, Ohio: How My Mother Raised 10 Kids on 25 Words or Less",Terry Ryan,2002,Simon &amp; Schuster
0060163976,Family Pictures: A Novel,Sue Miller,1990,Harpercollins
0380724081,Men and the Girls,Joanna Trollope,1995,Perennial
0380724979,Sanctuary (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1995,Avon
0340767960,Dinner for Two,Mike Gayle,2002,Flame
0894716905,Five Minute Mysteries: 37 Challenging Cases of Murder and Mayhem for You to Solve,Ken Weber,1989,Running Press Book Publishers
0486272788,Hamlet (Dover Thrift Editions),William Shakespeare,1992,Dover Publications
0449909735,Dave Barry Is Not Making This Up,Dave Barry,1995,Ballantine Books
0670850535,The Liar's Club: A Memoir,Mary Karr,1995,Penguin USA
1551664933,Plucking The Apple,Elizabeth Palmer,1999,Mira
0786886307,Stolen Lives : Twenty Years in a Desert Jail (Oprah's Book Club (Paperback)),Malika Oufkir,2002,Miramax
0099744414,Reading In the Dark,Seamus Deane,0,Trafalgar Square
0440330076,Go Tell It on the Mountain,James Baldwin,1985,Laurel
0380700972,"I, Tina",Tina Turner,1987,Avon
059047071X,Frankenstein Doesn't Plant Petunias (Adventures of the Bailey School Kids (Paperback)),Debbie Dadey,1997,Scholastic
0380709120,Henry Huggins (50th Anniversary Edition),Beverly Cleary,1990,HarperTrophy
0345384903,Our Father,Marilyn French,1995,Ballantine Books
0394809378,The Foot Book (Bright and Early Books for Beginning Beginners),Dr. Seuss,1968,Random House Children's Books
0446363383,The Last Camel Died at Noon (Amelia Peabody Mysteries (Paperback)),Elizabeth Peters,1992,Warner Books
0385333927,Pagan Babies,Elmore Leonard,2000,Delacorte Press
0449219380,Murder at the National Gallery (Capital Crime Mysteries),Margaret Truman,1997,Fawcett Books
0553282085,A Little Class on Murder,Carolyn G. Hart,1989,Bantam Books
0684849216,True at First Light : A Fictional Memoir,Ernest Hemingway,1999,Scribner
0394800303,Dr. Seuss's A B C (I Can Read It All by Myself Beginner Books),DR SEUSS,1960,Random House Books for Young Readers
0060171316,Mr. Ives' Christmas,Oscar Hijuelos,1995,Harpercollins
0380798395,Disturbing the Peace: A Novel,Nancy Newman,2002,Avon Trade
0425144062,Witches' Bane,Susan Wittig Albert,1994,Berkley Publishing Group
0394755111,Iron and Silk (Vintage Departures),Mark Salzman,1987,Vintage Books USA
0380773813,A Knife to Remember (Jane Jeffry Mysteries (Paperback)),Jill Churchill,1999,Avon
0060254920,Where the Wild Things Are,Maurice Sendak,1988,HarperCollins
0446610127,Fearless Jones (Fearless Jones Novels (Paperback)),Walter Mosley,2002,Warner Vision
0425188140,Bloodroot,Susan Wittig Albert,2003,Berkley Publishing Group
0425159418,Rueful Death: A China Bayles Mystery,Susan Wittig Albert,1997,Berkley Publishing Group
038079005X,Death on the River Walk (Henrie O Mysteries (Paperback)),Carolyn Hart,2000,Avon
0425156710,Death at Daisy's Folly: A Victorian Mystery,Robin Paige,1997,Berkley Publishing Group
0671042564,Blackbird : A Childhood Lost and Found,Jennifer Lauck,2001,Washington Square Press
0312974698,The Lighthouse Keeper,James Michael Pratt,2001,St. Martin's Paperbacks
067172701X,Meridian,Alice Walker,1990,Pocket
0060927542,Mr. Ives' Christmas,Oscar Hijuelos,1996,Perennial
044021789X,Body and Soul,Frank Conroy,1996,Dell Publishing Company
0679418733,The Children of Men,P. D. James,1993,Random House Inc
0446360325,Naked Once More,Barbara Mertz,1990,Warner Books
0446602485,Night Train to Memphis,Elizabeth Peters,1995,Warner Books
0452269652,Jazz (Plume Contemporary Fiction),Toni Morrison,1993,Plume Books
0380712520,Don't Know Much About History: Everything You Need to Know About American History but Never Learned,Kenneth Davis,1999,Perennial
0399143718,Blind Descent (Anna Pigeon Mysteries (Hardcover)),Nevada Barr,1998,Putnam Pub Group
0399134204,Joy Luck Club,Amy Tan,1989,Putnam Publishing Group
0440216419,The 27-Ingredient Chili Con Carne Murders (Eugenia Potter Mysteries),Nancy Pickard,1997,Dell Publishing Company
0312979487,The Man in the Brown Suit (St. Martin's Minotaur Mysteries),Agatha Christie,2001,St. Martin's Paperbacks
0679746692,Running in the Family (Vintage International),Michael Ondaatje,1993,Vintage Books USA
1583224912,Sent by Earth: A Message from the Grandmother Spirit After the Bombing of the World Trade Center and the Pentagon,Alice Walker,2001,Seven Stories Press
0380721228,Tell Me No Secrets,Joy Fielding,1994,Avon
0440428130,Freckle Juice,JUDY BLUME,1978,Yearling
0446674362,The Black Dahlia,James Ellroy,1998,Warner Books
0684863472,A Heartbreaking Work Of Staggering Genius : A Memoir Based on a True Story,Dave Eggers,2000,Simon &amp; Schuster
0525946446,Pen Pals,Olivia Goldsmith,2002,Dutton Books
078686298X,The Big Picture,Douglas Kennedy,1997,Hyperion Books
0060391839,In Contempt,Christopher A. Darden,1996,Harpercollins
0345383958,Your Blues Ain't Like Mine (Ballantine Reader's Circle),Bebe Moore Campbell,1993,Ballantine Books
039454689X,The Accidental Tourist,Anne Tyler,1985,Random House Inc
1896860982,Falling Backwards,James Eke,2002,Ekstasis Editions
0590435132,"Claudia and the Phantom Phone Calls (Baby-Sitters Club, 2)",Ann Matthews Martin,1986,Scholastic Paperbacks
0064440028,Danny and the Dinosaur,Syd Hoff,1992,HarperTrophy
0671899333,The Sweeter the Juice: A Family Memoir in Black and White,Shirlee Taylor Haizlip,1995,Free Press
0515092266,The New Breed (Brotherhood of War),W. E. B. Griffin,1995,Jove Books
0515089958,The Majors (Brotherhood of War),W. E. B. Griffin,1991,Jove Books
0449002411,The Presence,John Saul,1998,Ballantine Books
0446364304,Temptation's Kiss,Sandra Brown,1998,Warner Books
0821752286,Wish List,Fern Michaels,1996,Zebra Books
0061031445,Flight Lessons,Patricia Gaffney,2003,HarperTorch
1551666022,"Dakota Home (Dakota Trilogy, Book 2)",Debbie Macomber,2000,Mira
0060508302,Angels Everywhere: A Season of Angels/Touched by Angels (Avon Romance),Debbie MacOmber,2002,Avon Books
0553109200,The Years of Rice and Salt,KIM STANLEY ROBINSON,2002,Bantam
0312857675,A Crown of Swords : Book Seven of 'The Wheel of Time' (Wheel of Time),Robert Jordan,1996,Tor Books
0451409450,Darkness Bound,Larry Brooks,2000,Onyx Books
067003116X,Report from Ground Zero: The Story of the Rescue Efforts at the World Trade Center,Dennis Smith,2002,Penguin Putnam
0515115843,Lord of Falcon Ridge (Art and Imagination),Catherine Coulter,2003,Jove Books
0671684264,COLD HARBOUR,Jack Higgins,1990,Pocket
0671897071,Girl : A Novel,Blake Nelson,1994,Touchstone
0440181275,A Stranger Is Watching,Mary Higgins Clark,1990,Dell Publishing Company
0380007789,The Wolf and the Dove,Kathleen E. Woodiwiss,1974,Avon
0590568779,"Night of the Living Dummy III (Goosebumps, No 40)",R. L. Stine,1996,Scholastic
0590568787,"Bad Hare Day (Goosebumps, No 41)",R. L. Stine,1996,Scholastic
0590568922,"The Blob That Ate Everyone (Goosebumps, No 55)",R. L. Stine,1997,Apple (Scholastic)
0590568833,"How to Kill a Monster (Goosebumps, No 46)",R. L. Stine,1996,Scholastic
0590568809,"The Beast from the East (Goosebumps, No 43)",R. L. Stine,1996,Scholastic
0590566458,"Tick Tock, You're Dead! (Give Yourself Goosebumps, No 2)",R. L. Stine,1995,Scholastic
0590566466,"Trapped in Bat Wing Hall (Give Yourself Goosebumps, No 3)",R. L. Stine,1995,Scholastic
0060933267,The Ethics of Star Trek,Judith Barad,2001,Perennial
0425139808,White Horses,Alice Hoffman,1993,Berkley Publishing Group
0440217490,A Dangerous Fortune,Ken Follett,1994,Island
0330345605,Last Orders,Graham Swift,0,Picador
0679777504,Oscar and Lucinda,Peter Carey,1997,Vintage Books USA
0345327462,An Unkindness of Ravens,Ruth Rendell,1993,Fawcett Books
0393315819,Ecstasy : Three Tales of Chemical Romance,Irvine Welsh,1996,W. W. Norton &amp; Company
0671816381,WAR REMEMBRANCE,Herman Wouk,1980,Pocket
0140622179,The Dubliners (Penguin Popular Classics),James Joyce,1996,Penguin Books Ltd
0330336630,The Scold's Bridle,Minette Walters,1995,Macmillan Pub Ltd
0452284902,Weekend in Paris,Robyn Sisman,2004,Plume Books
0684804522,GARDEN OF EDEN,Ernest Hemingway,1995,Scribner
